restaurant_id,yelp_id_0,yelp_id_1,yelp_id_2,yelp_id_3
KAoKyPEg,Urw6NASrebP6tyFdjwjkwQ,,,
1JEbl1oR,ktYpqtygWIJ2RjVPGTxNaA,,,
6VOpaBEL,k_NyuJ67p9_D_7iIzsbJUw,,,
we395l3k,O7Wgpxd8iGLKMmnhdbtJuw,,,
KAoK96Eg,nUbPzfRH5-d01dSWRv4UZQ,,,
we39WAOk,ygGpFgRHwotrS6urVMbGUQ,,,
8x3zq2Ek,1Fmk8ORLVp0lWXndcjcKWA,,,
we39PREk,edbAEdBrOMTSXsutqzCWTg,,,
ZBEnQaOY,oIa4_X3nV50wwNtSXE93_Q,,,
we39nrok,H5IIFzGlOuf50sPrDXMtpQ,,,
6K3lg6Ez,3NnLhbpDThsqnGivlCC1ig,,,
B1oXymOV,lJr7n1vZ_NPPZv-cCzHmuA,,,
NbE1AyEJ,1c4rQB7HtPwoiZcK3sEg-A,,,
8xExYe30,HHuaSxExxef3BknhNytPng,,,
rNo6xdE6,SWh2iQPYsxDQZYDhaGVw0Q,,,
p038gXEm,mK9yllwCMcZ0PG8d48QvEw,,,
N6OkGVOx,RB9i28_OHxH_9njgIgN5ZQ,,,
7RO55dOq,WkfRFMB2tZbFxf1nsn1Tuw,,,
KAoKlKOg,ZN4C-1mpFn-dIsh3VaJzfw,,,
8x3zZz3k,Kw3GA_gz5cPRUwA-oGirGQ,,,
N6OkGOxz,IkEtseYqecfJzF-CYwRIww,,,
N6OkBmox,1z7q3pYA5RADkJY2JXQ9Lw,,,
0j3L0L3r,FNSeHhZUjxvq66Ad0U7X2Q,,,
8KoAB4O6,huz6Vzr43jyceUMqFJqBjg,,,
njoZZ1or,LdzAlJnB4fslwVQ3F40Z1w,,,
njoZaA3r,UmgcEKYWgSN0R8BdvLOcDQ,,,
eVOBKkEj,WcCeU3jeHsmeCVmnhtOa7A,,,
B1oX16OV,HhCe6sCH4aM2Ms3v-rCedg,,,
6Wo2GbO9,eUW_2YVPzZh51d5L1z99Qg,,,
